timestamp,e_distance,e_theta,v,w
1722328170.922619451,1.98412,0.5006,0.3,0.140702
1722328170.950544817,1.97777,0.495759,0.3,0.154626
1722328170.979291233,1.97165,0.490439,0.299999,0.120182
1722328171.8838498,1.96556,0.484516,0.3,0.118725
1722328171.41877947,1.95895,0.479386,0.299999,0.126155
1722328171.72398216,1.95162,0.474042,0.299999,0.107794
1722328171.101225250,1.9449,0.469184,0.299999,0.153657
1722328171.130126403,1.93832,0.465198,0.3,0.203733
1722328171.158872946,1.93144,0.461401,0.299999,0.170647
1722328171.187809420,1.92424,0.457617,0.299999,0.207656
1722328171.216663751,1.91691,0.455188,0.299999,0.254057
1722328171.245517304,1.90923,0.453417,0.299999,0.31132
1722328171.274338616,1.90119,0.452035,0.299999,0.372836
1722328171.304734688,1.89308,0.450871,0.299999,0.438509
1722328171.334450113,1.88372,0.449545,0.299999,0.482674
1722328171.362750752,1.87481,0.448144,0.3,0.638305
1722328171.392213460,1.86603,0.446074,0.3,0.699986
1722328171.421003982,1.85757,0.442921,0.3,0.699994
1722328171.449773165,1.84939,0.437938,0.3,0.699997
1722328171.478368715,1.84148,0.430493,0.3,0.699998
1722328171.507771810,1.83406,0.42038,0.3,0.699998
1722328171.540647457,1.82629,0.405715,0.299999,0.699997
1722328171.570721988,1.81822,0.385446,0.299998,0.667487
1722328171.600440444,1.81113,0.364216,0.299999,0.621054
1722328171.630139992,1.80464,0.341833,0.299999,0.531176
1722328171.659800776,1.79846,0.317518,0.299999,0.421249
1722328171.688565138,1.79237,0.293895,0.299999,0.318777
1722328171.718204836,1.78646,0.276228,0.299999,0.280554
1722328171.748284931,1.77968,0.261827,0.299999,0.246052
1722328171.776946461,1.77271,0.249549,0.299999,0.237551
1722328171.807450551,1.76584,0.239193,0.299999,0.272695
1722328171.837160740,1.75868,0.228996,0.299996,0.160928
1722328171.866986146,1.75158,0.217788,0.299998,0.180149
1722328171.898044097,1.74423,0.2103,0.299998,0.220376
1722328171.929309935,1.73659,0.202603,0.299996,0.244986
1722328171.959047639,1.72903,0.193395,0.299996,0.271127
1722328171.989154007,1.72177,0.183529,0.299999,0.316351
1722328172.18777265,1.71455,0.172714,0.299999,0.328462
1722328172.50023026,1.70745,0.1605,0.299999,0.341643
1722328172.79839851,1.70015,0.147525,0.299999,0.319799
1722328172.109320293,1.6933,0.136191,0.299999,0.35444
1722328172.138714144,1.68684,0.128112,0.299998,0.290819
1722328172.167960466,1.68076,0.121403,0.299999,0.346919
1722328172.197197494,1.67436,0.117052,0.299999,0.424636
1722328172.225907800,1.66846,0.112681,0.299999,0.500596
1722328172.254622554,1.66289,0.106905,0.299999,0.459928
1722328172.283400843,1.65778,0.099367,0.299999,0.508948
1722328172.313798797,1.6522,0.0910827,0.299999,0.550916
1722328172.343327418,1.64637,0.0801111,0.299997,0.433659
1722328172.371932583,1.6404,0.0660931,0.299999,0.440092
1722328172.399674715,1.63379,0.0521144,0.299999,0.448301
1722328172.428262817,1.62716,0.0367241,0.299999,0.443494
1722328172.456744571,1.61989,0.0189731,0.299999,0.391882
1722328172.485246059,1.61268,0.00095666,0.299999,0.239466
1722328172.513805466,1.60505,-0.0158356,0.299999,0.20871
1722328172.544323769,1.59758,-0.0269129,0.299999,0.226001
1722328172.574137805,1.58909,-0.0362897,0.299998,0.233267
1722328172.603755184,1.58085,-0.0458945,0.299999,0.271632
1722328172.632635917,1.57286,-0.0556487,0.299999,0.302035
1722328172.662398228,1.56478,-0.0662885,0.299999,0.331362
1722328172.691157998,1.55635,-0.0784592,0.299999,0.325967
1722328172.723191525,1.54815,-0.0912705,0.299999,0.338376
1722328172.752910000,1.53915,-0.106226,0.299999,0.280942
1722328172.782206794,1.53103,-0.120543,0.299998,0.185378
1722328172.812657464,1.52268,-0.134042,0.299999,0.181933
1722328172.844857465,1.51417,-0.143658,0.299998,0.193332
1722328172.874232953,1.5051,-0.151805,0.299994,0.211286
1722328172.903631156,1.49695,-0.159028,0.299999,0.28224
1722328172.931946516,1.48844,-0.166738,0.299999,0.318664
1722328172.959393456,1.48028,-0.174463,0.299999,0.366505
1722328172.988622446,1.47196,-0.18348,0.3,0.399793
1722328173.19330862,1.46328,-0.194793,0.299999,0.282143
1722328173.51597353,1.45443,-0.20872,0.299998,0.246823
1722328173.81754310,1.44499,-0.222285,0.299995,0.215157
1722328173.111850678,1.43636,-0.23257,0.299999,0.241385
1722328173.140296720,1.42769,-0.241456,0.299999,0.260066
1722328173.168607046,1.41959,-0.250418,0.3,0.291613
1722328173.198318252,1.41119,-0.260346,0.3,0.298631
1722328173.227895020,1.40251,-0.271866,0.299999,0.187496
1722328173.256707950,1.39409,-0.283387,0.299999,0.179276
1722328173.286126448,1.38558,-0.291383,0.299999,0.204632
1722328173.316805336,1.37703,-0.298524,0.299999,0.224705
1722328173.348316768,1.36789,-0.306996,0.299999,0.226232
1722328173.377468442,1.35873,-0.316334,0.299999,0.223268
1722328173.406419396,1.35016,-0.325242,0.299999,0.164394
1722328173.435378970,1.34157,-0.334124,0.299999,0.170273
1722328173.464072448,1.33295,-0.340941,0.3,0.190391
1722328173.493776072,1.3243,-0.347793,0.3,0.210407
1722328173.523334952,1.31534,-0.355708,0.3,0.21081
1722328173.555365967,1.3067,-0.364038,0.299999,0.140934
1722328173.587217647,1.29717,-0.373249,0.299999,0.122361
1722328173.617041558,1.2876,-0.379768,0.299999,0.139023
1722328173.647394973,1.27865,-0.384639,0.3,0.177074
1722328173.677273223,1.26972,-0.390017,0.3,0.195921
1722328173.706749860,1.26101,-0.395864,0.3,0.214115
1722328173.735175640,1.25267,-0.400745,0.299999,0.17478
1722328173.763945940,1.24538,-0.403533,0.3,0.22018
1722328173.795062702,1.23799,-0.404049,0.3,0.27586
1722328173.824666174,1.23044,-0.404525,0.299999,0.260343
1722328173.856436311,1.22364,-0.405687,0.3,0.317677
1722328173.885661640,1.21607,-0.407125,0.3,0.353262
1722328173.915658828,1.20918,-0.410297,0.3,0.338592
1722328173.946900106,1.20195,-0.41588,0.3,0.343333
1722328173.976840395,1.19376,-0.42383,0.3,0.324566
1722328174.5896776,1.18548,-0.434317,0.299999,0.240318
1722328174.35305449,1.17681,-0.446623,0.3,0.190321
1722328174.68250528,1.16798,-0.455941,0.3,0.159877
1722328174.96923315,1.15758,-0.46278,0.3,0.141546
1722328174.124950138,1.14808,-0.465439,0.3,0.176556
1722328174.153528404,1.13863,-0.465694,0.3,0.176552
1722328174.182101483,1.12887,-0.465664,0.3,0.220252
1722328174.210705295,1.11871,-0.465533,0.3,0.264784
1722328174.239224147,1.10861,-0.465568,0.3,0.305984
1722328174.267898844,1.09779,-0.465575,0.3,0.34602
1722328174.298325924,1.08666,-0.465758,0.3,0.382049
1722328174.327361693,1.07486,-0.4661,0.3,0.41068
1722328174.355786632,1.06323,-0.46693,0.3,0.441936
1722328174.383593554,1.05153,-0.468728,0.3,0.461036
1722328174.411190465,1.04069,-0.472062,0.3,0.464993
1722328174.438734836,1.02978,-0.477973,0.3,0.443712
1722328174.466276253,1.01992,-0.486801,0.3,0.394939
1722328174.494710918,1.01069,-0.499778,0.3,0.28321
1722328174.523424216,1.0022,-0.51497,0.3,0.177293
1722328174.553886148,0.993448,-0.528191,0.3,0.0873936
1722328174.582704911,0.98417,-0.536799,0.3,0.0371614
1722328174.611304977,0.975864,-0.54023,0.3,0.00589583
